카테고리,채널명,채널ID,설명,구독자 수,영상 수,총 조회수
동물,월드펫동물메디컬센터,UCawCpX_qu-opvi73LvKQswA,"👨🏻‍⚕ 수술 경력 25년 이상 된 외과 원장 2인 직접 집도
👨🏻‍⚕ 서울대, 건국대 출신 석박 의료진
👨🏻‍⚕ 미국 동물 재활학회 재활치료의사 (CCRT 취득)

🐶🐱 365일 연중무휴
📞 전화예약: 02-2698-7582
💬 카카오톡: @24시 월드펫메디컬센터
🏥 오시는길: 서울 양천구 신월로 208
                       2호선 신정네거리역 2번 출구에서 788m

🩺 서울동물영상센터 (본원 5층)
   · 3D MRI · CT · 초음파 · C-arm
🩺 슬개골정형 외과센터  
🩺 반려동물 항암센터 
🩺 뇌척추 질환센터
🩺 최소침습 수술센터

🐱 4층 단독 고양이 의료센터 GOLD LEVEL

",472,50,254301
동물,KBS 동물의 왕국,UCAoj1O_pb7N12tFtzwGu21w,"국내 유일의 동물 전문 다큐멘터리 프로그램
""동물의 왕국""은 BBC Studios, ZDF Studios, Terra Mater Studios, Earth Touch 등 세계 최고의 다큐멘터리 제작사들이 제작한 프로그램을 엄선하여, 우리말로 더빙해 시청자들에게 소개합니다. 정확한 해설로 시청자들의 생태계 이해를 극대화하는 프로그램입니다.

생생한 대자연의 세계를 안방에서!
아프리카의 초원 지대부터 극지방, 사막까지 세계 곳곳에 서식하는 다양한 동식물을 총망라한 ""동물의 왕국""은 전문 다큐멘터리 제작사들의 노하우가 화면 곳곳에 녹아 있습니다. 아이들에게는 주옥같은 교육 자료로, 어른들에게는 일상에서 벗어나 자연과 조우하는 청량제로 그 역할을 합니다.

온 가족이 함께!
시청자 층이 다각화되고 세분화되는 요즘, ""동물의 왕국""은 온 가족이 한 자리에 모여 편안한 마음으로 대화를 나누며 시청할 수 있는 몇 안 되는 프로그램입니다. 컴퓨터 그래픽이나 화려한 무대가 아닌, 카메라맨이 직접 땀 흘려가며 촬영한 화면 하나하나가 시청자들에게 대자연의 위대함과 생태계의 신비, 자연의 소중함을 일깨워 줄 것입니다.

""동물의 왕국""과 함께 세계의 다양한 자연을 만나보세요.
",237000,844,73430754
동물,비엔동물전문의료센터,UCo5Lmp0O_r_8uNlGjJs9Xaw,"안녕하세요 부천 비엔동물전문의료센터는 좀 더 나은 환경에서 환자들이 더 정확한 진료 받을 수 있도록 의료 시설과 인력에 아낌없이 투자하고 있으며 최신 치료 경향을 반영하고 끊임없이 연구하고 고민하고 있습니다. 
 진심을 다하는 수의사와 따뜻한 수의테크니션 선생님들이 24시간 병원을 지키며 우리 아이들의 건강을 위해 함께 하겠습니다. 감사합니다. 
        
- 비엔동물전문의료센터 일동 

경기 부천시 경인로 475 
032-345-7559
",1840,271,827526
스포츠,스포츠마니아TV,UCz9owiXUt0UoSRfhdz8-FYw,스포츠의 모든것 스포츠마니아TV가 함께합니다.,38500,4001,33119409
스포츠,스카이스포츠_코리아,UCwdUrGQyPQV69ABRAH_r3EA,"한국 스포츠의 힘! skySports
⚽️SKYK 공식 유튜브 채널
K리그 1/2, FA컵, Spurs TV, PSG TV, K3/5/6/7리그
세계육상선수권대회, 테니스대회, 볼링대회, 당구대회
",99800,1368,368686900
스포츠,비욘드 스포츠,UCJronx9CcSDgRAnHrVW2BNA,"스포츠, 그 너머",200000,85,96389706
스포츠,스포츠한입,UC9RecSEW5AdRcDXZhskte_Q,"🔽🔽스포츠 한입이 직접 운영하는 'MLB 스탯 포탈 사이트'

✅ 블루필드 MLB 사이트 : https://blfil.com/

✅ 비즈니스 문의 : spobite@naver.com


17DJOB@AICOMPANY
",163000,312,92331487
스포츠,스포츠니어스,UC93HCsxW7bPLHdPfrHX8c-A,"FIFA, UEFA, AFC 정식 등록 축구 전문 미디어",79400,2508,42550510
스포츠,스포츠원티비 Sports1tv,UC5_1aDPhORqxpQU6KJ33LBg,AHR1UT@AICOMPANY,279000,2205,314054360
스포츠,스포츠머그 - SPORTSMUG,UCUQVGXF4U-PupGCPdIRX4Qw,생생한 현장과 그 너머의 이야기. 스포츠 이슈 한 잔 〈스포츠머그〉!,425000,2768,814680198
스포츠,KBS 스포츠,UCDIB1DOwPPe58M2fHPyVVDA,"스포츠 프리미엄 편집숍
KBS 한국방송 스포츠국의 공식 유튜브 채널에 오신 걸 환영합니다!

스포츠 현장의 생생하고 재밌는 이야기. KBS의 오리지널 시리즈
꽉꽉 들어찬 재미로만 정성껏 골라 여러분께 전합니다!
",359000,6659,586258763
스포츠,에스티엠티빙(스포츠아웃라인뉴스),UCHo-y6BWduzJELC2Y5BtqEg,"(주)에스티엠엔터테인먼트-에스티엠티빙, 스포츠아웃라인뉴스,미디어콘텐츠창작,관광여행콘텐츠,문화행사콘텐츠

",34100,1565,7678648
스포츠,웰컴스포츠,UC7vrs96QT9uq16QWqB3aPyw,"No. 1 디지털뱅킹 웰컴저축은행의 스포츠 커뮤니티입니다.

",87900,998,49446796
스포츠,tvN SPORTS,UCtybqqaTj6Nx74Azdz1KrsA,"종목 초월, 무한 확장! 짜릿한 즐거움엔 tvN SPORTS

ⓒCJ ENM. Corp ALL RIGHTS RESERVED
",840000,5981,798169884
스포츠,스브스스포츠 SUBUSU SPORTS,UCk4XjBsDuzItvsuVGiDdKqQ,,579000,4851,446256873
스포츠,스포츠조선,UCgf99FxnJYCee6WEeH58n2w,"스포츠·연예 전문 매체 스포츠조선의 공식 채널입니다. 스포츠 현장의 생생한 영상과 핫한 연예가 소식을 전해드리겠습니다.

비즈니스 문의 : zilver@sportschosun.com
",89600,6966,131517305
스포츠,스포츠클래식 SportsClassic,UCt4bWJILlEo1hvsR224ASyA,"안녕하세요 스포츠클래식(SportsClassic)입니다.

40년차 롯데팬, 야구칼럼니스트 김창덕이 여러분과 소통하고싶어서 만든 채널입니다.

""스포츠에는 국경이 없다""
만국 공용어인 스포츠를 재미있게 즐길 수 있는 콘텐츠를 제공하겠습니다.

✉️ sportsclassic03@gmail.com
",72000,1426,40082678
스포츠,ON THE SPORTS 온더스포츠,UC-JEIp-IjHJJ8g3812Z7MUw,"인기/비인기 종목을 구분하지 않고 스포츠라면 누구나 즐길 수 있도록 컨텐츠를 만들고 함께하는 온라인 스포츠 채널입니다.
스포츠 이벤트, 경기, 대회, 이야기 등 많은 사람들과 함께 하길 원한다면 이메일 himchan@onthesports.co.kr에 말씀해 주십시오!

*영상 제작 후원하기
https://toon.at/donate/onthesports


* ON THE SPORTS (온더스포츠)는 힘찬스튜디오 (대표 : 박힘찬) 소유(제작, 관리, 운영)의 채널, 브랜드 입니다.
",14800,7480,11560900
스포츠,오버워치 이스포츠,UCLGDwdJU3TQF34JgVAlvwBw,"오버워치 이스포츠 한국 공식 유튜브 채널입니다. #OWEsports

2020 BLIZZARD ENTERTAINMENT, INC. 모든 권리는 BLIZZARD ENTERTAINMENT에 있습니다.
여기서 언급된 다른 모든 상표는 각 소유권자들의 자산입니다.",118000,4183,75011963
스포츠,스포츠N플러스,UC5zT7-3NXCxAza2FfwNt9uw,"매주 월~토. 밤 10시 라이브!

매일 쏟아지는 스포츠 소식들을 발빠르게 전합니다. 스포츠N플러스!
각 매체의 스포츠 기자 총출동! 
현장에서 직접 취재한 생생한 소식들과 비하인드 스토리
숨겨왔던 민감한(?) 이야기까지 모두 쏟아 놓습니다

비즈니스 문의 : bigrt2022@gmail.com
",30300,1492,11550060
스포츠,beIN SPORTS,UCJUCcJUeh0Cz2xyKwkw5Q1w,"The Official Account for beIN SPORTS Channels in Middle East & North Africa 

 في الشرق الأوسط وشمال أفريقيا   beIN SPORTS   الحساب الرسمي لقنوات
",14200000,7017,2283637487
스포츠,스탐,UCArK9MK34LsQzPJrl5TZmYA,"MBC 문화방송 스포츠국 유튜브 채널 스탐입니다.
탐나는 스포츠 소식을 탐험하고 탐구합니다.

서울특별시 마포구 성암로 267 문화방송
http://www.imbc.com/broad/tv/sports/",465000,4002,675872405
스포츠,쿠팡플레이 스포츠,UCnBht7BrOx-A328KFXgysqQ,,543000,5732,825274025
여행 이벤트,띱 Deep,UCaxbXRPhdHPXjM-e-F00LVA,"매주 ""토요일 12시"" 업로드 됩니다
문의 dee3eep@gmail.com
",1850000,279,605442140
여행 이벤트,여행에미치다,UCHS-3P-lLr-3kF79mxPFWVg,"대한민국 No.1 여행 채널
",385000,469,96241535
여행 이벤트,여행자메이 [Traveler May],UCYIHDeG1tLCuO9rMNVHubJg,"여행과 일상 속 크고 작은 낭만을 찾으며 삽니다. 여행 에세이  『때때로 괜찮지 않았지만, 그래도 괜찮았어』,  『반짝이는 일을 미루지 말아요』, 『내 장례식에는 어떤 음악을 틀까?』를 쓰고  『그래서, 서울』에 참여했습니다.

*제휴/강연 문의: mihuiyam@gmail.com
*오스프리 트래블 공식 앰버서더

7YCKJZ@AICOMPANY
",117000,246,18213579
여행 이벤트,푸들커플,UC81KlliBJxIR844123jup9A,"푸하👐🏻 안녕하세요 저희는 푸들커플이에요~❤️

🖤 Instagram
@1993_x_sy
▶https://instagram.com/1993_x_sy
@paikbon
▶https://instagram.com/paikbon
@poodlecouple
▶https://instagram.com/poodlecouple
@bontak2
▶https://instagram.com/bontak2

📍페이스북 ▶https://www.facebook.com/poodlezzang
📍틱톡 ▶https://www.tiktok.com/@poodlecouple

💌Contact : paikbonhyung@gmail.com",1230000,1134,820077103
여행 이벤트,답사친구 문화야놀자TV ,UCrDfM7gNiXXtcUuxSWLbAfg,"여행할때  꼭한번씩은 찾게되는 유적지에  대해  재밌는 설화를 중심으로     유익한정보도  함께 실었습니다
그동안  유적지를  그냥들러보시 거나 사진만 찍고  오셨다면 이제는  문화야 놀자 채널을  한번 보시고  방문하시면  더욱더 알찬 여행이 되실거라 확신합니다
문화쌤은 오랜기간  답사를 다녔고 지금도 시대순으로 답사여행을 하고있는 문화쌤의  유적지 탐방 깨알 팁을  받아가세요
신라 시대 흐름 따라 경주 여행을 시작으로 전국 시대순 여행 코스와 유적지에 얽힌 역사 스토리를 들려드리겠습니다 
아는 만큼 보이고 보이는 만큼 아끼고 사랑하게 됩니다",1850,17,155459
여행 이벤트,노랑풍선,UCpiUtxNIm5egPz2u3hmKSeA,노랑풍선 공식 유튜브 채널(Yellowballoon Official Youtube Channel),3310,345,8552477
여행 이벤트,채널주인 부재중,UC5Ida86tt8QKa4Myw7idxNg,"핫도그2.0
톰과 제리같은 두 남자,
눈치 빠른 여잘알 기동과 바보 같은 여알못 재열의 우당탕탕 성장이야기
",1170000,2852,1453344132
여행 이벤트,유콘,UCqzwimL_GVGjtJaDk7Vbfwg,"즐거운 일상을 그리는 유콘입니다! 🔻문의
ukon60@sandboxnetwork.net
",314000,972,147155028
여행 이벤트,몽골 투어북,UC29V7J-Oi8nuX9o6V3omAJw,"몽골여행, 몽골의 자연 소개",1720,122,284354
여행 이벤트,또 떠나는 남자 ddoddunam,UCldwUablgk8KPcFPQlKnB-w,365일 머리로 가슴으로 두 발로 여행하는 (전)직장인,644000,651,291104755
여행 이벤트,취미로 요리하는 남자 Yonam,UCyozK5OFN5lDrwim5wqQnLA,"요리가 만드는 시간, 공간, 관계.

- 수비드, 스텐, 황동, 월넛을 좋아합니다.
- 멍청한 멘사
- 이제는 유부남

",1410000,214,202945358
여행 이벤트,매일제히,UCWWnWFPkfXMIjxNhBu5qVtg,"*사업 제안 & 광고, 협찬문의는 아래 메일로 부탁드립니다!
매일제히 하세요~♥",342000,302,135321608
여행 이벤트,ChaCha Day,UCN4PadpG2alMR1EwEQBy4Bg,"I created this channel to document and share videos and photos of my travels, events, and everything in between.
Thank you for watching.

저는 제 여행, 이벤트, 그리고 그 사이의 모든 것에 대한 비디오와 사진을 기록하고 공유하기 위해 이 채널을 만들었습니다.
시청해 주셔서 고맙습니다.

List of Countries Visited | 방문한 나라 목록

Australia | 오스트레일리아
Austria | 오스트리아
Bahamas | 바하마
Belgium | 벨기에
Canada | 캐나다
China | 중국
Czech Republic | 체코
Denmark | 덴마크
Dominican Republic | 도미니카 공화국
Egypt | 이집트
France | 프랑스
Germany | 독일
India | 인도
Indonesia | 인도네시아
Ireland | 아일랜드
Italy |  이탈리아
Laos | 라오스
Luxembourg | 룩셈부르크
Mexico | 멕시코
Monaco | 모나코
Nepal | 네팔
Netherlands | 네덜란드
Nicaragua | 니카라과
Peru | 페루
Philippines | 필리핀
South Korea | 대한민국
Spain | 스페인
Sri Lanka | 스리랑카
Sweden | 스웨덴
Switzerland | 스위스
Tanzania | 탄자니아
Thailand | 태국
Turkey | 튀르키예
United Kingdom | 영국
United States | 미국
Vatican City | 바티칸 시국
Vietnam | 베트남
",691,100,154723
여행 이벤트,심장에박현서,UCo4m81FJ-dT8MqijBlhbN2A,"*사업 제안 & 광고, 협찬문의는 아래 메일로 부탁드립니다!
당신의 심장에서 헤엄칠테얏~!",318000,346,169326187
여행 이벤트,EBS 세계테마기행,UCbeZPOz8uaHstEIbkqBOnGg,"🏛️EBS 세계테마기행 공식 유튜브 채널 : https://bit.ly/WorldTravel_EBS (구독하기)
⛵세계를 여행하며 만나는 다양한 문화와 풍경! 
🚗EBS 세계테마기행에서 새로운 모험과 감동을 경험하세요.
🏰구독하고 알림 설정을 하시면 최신 영상을 가장 빠르게 만나보실 수 있습니다.

",96500,1034,31358970
여행 이벤트,포카라여행사.POKARA,UCLzCZIPUQePq97ueaD42Giw,"해외 자유 트레킹의 메카 포카라 여행사✈️

안녕하세요!
해외 산악 트레킹 전문 여행사 “포카라”입니다.
네팔, 유럽, 중앙아시아, 일본 등 세계 각지의
광활한 대자연의 잊지못할 트레킹 여행을 선사해드립니다.

문의 전화
02)2261-4090

네이버 카페 
http://www.pokhara.kr/
https://cafe.naver.com/jrpokara

인스타그램
https://www.instagram.com/pokara_travel?igsh=eWliZGUyMTYxaDNx&utm_source=qr",1780,162,284324
여행 이벤트,션표의자연여행,UCDaAsqRQnaGvvX1TEtvuR_g,"여행사진가 션표의 자연여행이야기. 아웃도어, 캠핑, 백패킹, 여행을 즐기며 관련 정보를 공유해 드립니다. 
두근두근몽골원정대와 몽골로 자연여행을 떠납니다.",5480,415,1737042
여행 이벤트,AthomeTrip,UC9Y6i_izmv9o_d_bTx-qJLw,"머물고 싶은 여행, 앳홈트립과 함께하는 뉴욕 이야기🗽
뉴욕 정보, 뉴욕 여행 준비, 뉴욕 일상 등 뉴욕의 모든 것을 소개합니다. 
",1760,209,409667
여행 이벤트,승글징글,UChZAdvinIy_kcz8DYUt1Tng,"무근본 예능 빡듀오! 승글징글입니다 앙스!
영상업로드 매주 수목금토!

승글징글 인스타: https://www.instagram.com/sgjg1993
후원하기:  https://toon.at/donate/seungree
페이스북 - https://www.facebook.com/sgrjgr
비지니스 및 광고 문의: seungreetube@gmail.com
실력 있는 편집자 항시 모집: seungreetube@gmail.com

*구독과 좋아요 눌러주시면 더 많은 분들이 영상을 보실 수 있어요*",188000,1565,253484671
여행 이벤트,브레이너 제이의 숙면 여행,UC5jSCU8FpKGr8P5Z-p-70lw,"대한민국 NO.1 수면 전문 미디어이자 플랫폼으로서, 여러분의 근본적인 숙면과 마음건강을 돕는 다양한 콘텐츠를 제공해드립니다. 이제는 잠 못 드는 밤과 작별하세요! 불필요한 감정들은 놓아주세요! 
국내 1호 국제인증 성인 수면코치 '브레이너 제이'가 매일 밤 당신의 평온한 숙면여행을 안내해드립니다.😌
지난 7년 간의 노하우와 매월 60만 명 이상으로부터 얻는 100만 건 이상의 데이터 및 피드백을 바탕으로, 3세대 불면증 테라피로 불리는 심신중재(Mind-Body Interventions)와 다양한 수면 전문 사운드 콘텐츠를 연구개발해왔습니다. 

브레이너 제이의 숙면여행 채널에서는 수면 관련 3건의 특허와 2건의 임상 논문, 5건의 학회 발표와 100여 편의 연구 근거들을 기반으로 운영되고 있으며, 국내 최초 1/2/3차 의료기관 및 정부기관, 백화점, IPTV, 리조트/호텔 등에도 보급이 되어 왔습니다.
현재까지 삼성전자, SK브로드밴드, 아모레퍼시픽, 현대백화점, 이케아, 울산과학기술원, 옥스퍼드마음챙김재단 등과 정식 협력을 진행하였습니다.

일상 속 근본적인 수면 개선과 마음건강의 회복을 도울 수 있도록 브레이너 제이의 숙면여행이 여러분과 함께 하겠습니다! 
그럼, 오늘 밤도 평화로운 숙면여행 되세요-!😴
",784000,232,188879412
게임,루시아의 게임채널,UCqpviQd_GxqkASNEXy0fIRQ,"매일밤 7시 치지직에서 생방송!(수,목빼고)",11100,963,2462705
게임,낭만숟가락의 게임wolrd,UCKvYQVeceZyyMKUzYfEa1jA,낭만숟가락의 게임하는 채널입니다.,4150,71,195630
게임,게임찍어먹는남자,UC-DHFaDY8D-mBGUXHa6ncEg,반갑습니다. 천천히 둘러보시고 가세요.,9700,114,1118548
게임,게임발굴단,UCdLyq9bdchhI5Dqvlx-Esgw,"함께 게임 이야기를 나누는 즐거움
",18700,680,6001243
게임,BB의 게임 스토리,UCtbwtYL6XXfntbij6wUIdQg,"게임 스토리 전문 채널 ""BB의 게임 스토리""입니다.😊
OGN 크리에이터로 활동하며 화요일 저녁 11시 OGN TV 채널에서 방영하는 ""BB의 게임 스토리""를 연재하고 있습니다.

📩 국내 비즈니스 메일: bbstory48@gmail.com
📩 중국 비즈니스 메일: bbstory@youdaoads.com
",36800,180,11291538
게임,주둥이방송 게임,UC9bicYGdrx2YllCCg5H81Cw,,58600,73,14634182
게임,강은호 게임,UCS7gEaMmBPAaI8dHNnrSofg,"안녕하세요 강은호입니다! 
카카오톡ID: BJeunho 
",4700,45,106220
게임,겜브링 GGAM BRING,UCSOeJWyByeoBHpmrm0NnlLw,"하브 반갑습니다~!!

@이메일 : ggambring@gmail.com",2960000,3375,2801301062
게임,우왁굳의 종합게임,UChCqDNXQddSr0ncjs_78duA,우왁굳의 종합게임 입니다.,348000,822,180349973
게임,오타의 게임밥,UCvwTEt8uAC0tqrt1bHuZoOQ,"게임밥 먹여드려요~! 배부르게 드시고 편히 쉬며 즐기다 가세요! (지난방송 다시보기는 라이브 메뉴에서)
매일 저녁 8시 생방송

",14700,626,2238867
게임,게임대장봉준,UCcgkgKhXT6QwdGj9Nr8PBcg,"숲 스트리머 봉준의 게임이 올라오는 채널입니다!
구독 한 번씩 부탁드립니다!!
",81300,339,34124771
게임,LimeG [라임게임],UCRF1RmJOzMc3x-bSPStG4UA,"[라임게임] 라임파워 전달하기: 
★ 구독 + 좋아요 + 이쁜댓글 + 공유는 라임게임에 큰 힘이 됩니다.
★ 구독자 + 시청자 여러분 영상 재미있게 봐주셔서 항상 감사합니다 : )
[팬레터 및 이벤트 이메일] limetube1004@gmail.com
[카카오 채널 Kakao Channel] https://goo.gl/52sqMY 

[Lime Tube]  INFORMATION:
Hi, Lime Tube  Have a good time ❤ Subscribe our channel ▶ http://goo.gl/DEoCmr ❤
Copyright ⓒ 2015 Limecast All Rights Reserved. 해당 영상의 저작권은 라임캐스트에게 있습니다. 이 영상을 공유하는 것은 가능하나 허가 없이 변경/배포는 불가합니다.
",63300,757,50683074
게임,전쓰트의 게임 채널 Junsst,UCD8r5Jgns2V64-NcUmXclpg,"그냥 하고 싶은 거 하는 채널입니다
문의할 게 있으시다면 이메일로 보내주세요 감사합니다
junsst412@gmail.com
",618000,4362,889287076
게임,홍인규 게임TV,UC543-TDm6IvHHZXwdSFioMw,"🖐️ 안녕하세요! 스타크래프트를 진심으로 사랑하는 개그맨 홍인규입니다. 🐿️
스타크래프트가 처음 나왔을 때부터 즐겨 했지만, 결혼하고 아이들을 낳으며 오랜 시간 게임과 멀어졌습니다.
그러다 최근 다시 스타를 시작하게 되었고, 마치 20대 초반으로 돌아간 듯한 짜릿한 기분을 느꼈습니다😘

💡 홍인규 게임TV는 저처럼 바쁜 일상과 삶에 치여 게임을 즐기지 못했던 분들과 함께 
다시 스타를 시작하며, 그때의 설렘과 추억을 되살리고 싶어 시작한 채널입니다📢

🎮 홍인규 게임TV에서는?
✔ 연예인들의 🔥 1대1 스타크래프트 빨무 대결
✔ 프로게이머 & 인플루언서들과 함께하는 스페셜 매치
✔ 🏆 프로에게 배우는 1:1 스타 빨무 레슨 콘텐츠
✔ 승부욕 가득한 다양한 게임 콘텐츠 등 다양한 콘텐츠로 찾아뵙겠습니다!

많은 응원 부탁드리며, 즐겁고 유쾌한 콘텐츠로 보답하겠습니다. 감사합니다❣️

📌 비즈니스 / 광고 / 제휴 문의
📧 이메일: withjdm@naver.com
",22100,50,2075069
게임,말랑찹쌀 게임창고,UCpiwf4OUp8KERVWVfOCOd5g,"🎮 흔한 라이트 겜덕
📢 생방송 : 본채널 8:00 PM 언저리
",55900,1025,13702532
게임,백앤아-게임튜브,UC_VnGdRI_SUZjLAuDDvMOlg,"💚게임만 하는 백앤아 게임채널💚

",401000,816,231272303
게임,사회인 게임클럽,UCEcRvF_6IRSux8FO-ogFZug,"🕗 생방송 시간 : 저녁 8시 - 새벽 1시

🎮 강초당 · 구라베 · 망난이 · 송몽숙 · 장폰주 🎮 
게임을 좋아하는 다섯 명이 모여 함께 운영하는 사회인 게임클럽🎈

📢 생방송 규칙 📢

· 채팅창 도배 금지 
· 타 스트리머 언급 금지 
· 시청자 닉네임 언급 금지 
· 시청자간 욕설 및 비방 금지 
· 시청자간 훈수 금지 
· 혐오 표현, 정치 관련 언급 금지 

💚 멤버십 가입 https://www.youtube.com/c/사회인게임클럽/join
💚 투네이션 https://toon.at/donate/637801123213090159

🙌 팬카페 https://cafe.daum.net/sahoiingameclub

💌 비즈니스 메일 sahoiingameclub@gmail.com

",66800,1866,56508892
게임,애니한 게임,UC2CBOJb8M-Bv1a42IIJ1kjw,재미있는 상황극과 이야기가 있는 애니한의 게임채널!,103000,1408,139572436
게임,행성이 게임,UCptSDIg_5XhLATiWmRnmwxw,"치지직 '행성이 그림 게임 티비' 에서 재미있는 소통 게임방송 하고있는 행성이입니다!
주로 오버워치2 위주로 재미 예능 방송 하고있습니다~
많이 놀러오세요~!

라이브 다시보기는 치지직 플랫폼에서 가능합니다!
",544,215,308978
게임,릴파의 종합게임,UCp_jHNjcoiXC7SlElrBmzBA,이곳은 공식 릴파 종합게임들을 올리는 채널입니다~,52800,302,5648075
사람 블로그,여행사람 travelstyle - NextepTV,UCNr6lV0b9Q-xZuy8bqunFrA,"여행 할 땐,여행사람! 여행의 가장 완벽한 파트너,여행사람! 언제든 #여행사람

facebook : https://www.facebook.com/travelstyle6
Instagram : https://www.instagram.com/travelstyle6/
blog : http://blog.naver.com/travelstyle6
homepage : https://www.travelstyle.co.kr/",235,62,137862
사람 블로그,발성에 관한 모든 지식_JubileeVoice키큰사람,UCKnNcG05rsccZtGcdEGj-Aw,"""발성모지""는 ""발성에 관한 모든지식""의 약자입니다.
이 채널은 가창 및 스피치 등에 필요한
목소리의 원리를 소개하고 설명하는 채널입니다.

Jubilee Voice Studio.
부산에서 운영하는 발성 전문 스튜디오 채널입니다. 
Jubilee Voice Studio에서는 성악, 가요, 뮤지컬, 스피치 등등
장르불문 발성에 대한 솔루션을 제공합니다.

블로그 http://200613241.blog.me
(카톡id : belcanto), (이메일 : go2jesus616@gmail.com)",3520,93,216394
사람 블로그,셀프메이드 SELFMADE,UCQe2v1aNQW5HLd-TXOxsXYw,"셀프메이드 : 자수성가;자신의 힘으로 인생의 성공을 이룬 사람을 표현할때 쓰는 말. 특히 성공의 시작에 있어 금전적이나 사회적 지위 없어 온전히 자신의 힘으로 일군 사람을 가르킬때 사용됨.
셀프메이드 블로그 : selfmade.center

*비즈니스 관련 문의는 메일로 주시면 평일 24시간 이내 회신드립니다.
문의 메일 : selfmadecreator@gmail.com",111000,81,7318351
사람 블로그,미곰이meegom my life,UClxcyOHsw5H6ZzlebgCcEhQ,"미국에 사는 살림하는 명랑발랄주책한 엄마 이야기

경력: 홈베이킹 야매경력 20년!
취미: 세상의 모든빵 다 만들어보기
특기: 갱년기
특이사항:사람보다 개를 더 이해함
가족사항:곰한마리 여우두마리 개두마리를 조련하는 미련곰탱이

미국에는 어떻게 오게 되었나요: 남편따라 유학왔습니당!
이메일은 비즈니스 정보란을 클릭하세요!



",65400,286,16223913
사람 블로그,어느시인a poet's vlog,UC5FwiZhwp0_wgyumvZn8QCQ,"시인의 일상
인스타그램 @opendooropenit
블로그 https://blog.naver.com/openingdoor1

2018.8 브이로그 시작",8160,79,382238
사람 블로그,에이스ACE,UCJAWmvfY_RLTRUjxCYW-8yQ,,223000,271,31549027
사람 블로그,와이즈코멧,UCC2cG9-Q2-rh36vhhzNHa7Q,"🔥 사업과 성장에 미친 사람
🏆 사업가의 0 to 1을 돕습니다
🚀 와이즈코멧의 추월차선에 탑승하세요
",461,13,23097
사람 블로그,피나렐로 탔던 마을사람A,UCQXqRrkKRopP3mAk8Eyf7Wg,"유튜브 안 합니다. 블로그만 합니다.

본 유튜브는 블로그 업로드용 영상만 올립니다.

https://www.haguangho.com/
",54,35,10617
사람 블로그,사람사랑운동센터,UCBSFDMySfXZxCV0UmIgXHsA,"대한민국 최초의 유일한 힐링코드 코치 자격을 갖고 있는 
물리치료사 출신의 원장이 하는 스트레스 완화와 인생의 행복과 성공을 위한 채널

네이버 블로그 https://blog.naver.com/saramsarang-exercise
전화문의 010-8586-0750
카카오톡 ID saramsarang
",2850,29,302151
사람 블로그,쯔양밖정원,UCHrX2qBKBuS2aUZkvr-UdxA,메일: tzuyangvlog@gmail.com,444000,27,19294096
사람 블로그,yoovlog,UCkh6TlSape86-iHiehXvsmA,"유트루의 두번째 채널! 🍽
일상채널입니다 :)

라이브 채널 : YOOTRUE ON AIR
뷰티 채널 : Yoo True
",481000,1273,323800158
사람 블로그,힐링사람(K-Healing Blog),UC2R2MWOVlxgT8n6asaHPkdA,"힐링 영상 토,일 게시",58,64,21994
사람 블로그,chessinside,UCnUPEKHg9B8Ut75rsgqXWYw,"안녕하세요! 체스 콘텐츠 크리에이터 체스인사이드입니다 :)
세계 1위 온라인 체스 플랫폼 체스닷컴(Chess.com)에서 한국 부문장으로 활동하고 있습니다. 국내 체스 발전을 위해 온라인 콘텐츠를 만들고 체스 토너먼트 등 다양한 이벤트를 기획하고 있습니다. 네이버 블로그, 인스타그램 등 SNS 채널도 함께 운영 중이니 확인해주세요!",53500,1453,16258641
사람 블로그,하는사람 er,UCyoHymeNEGHnSfNH033mf-A,"여행 유튜브를 가장한, 잔잔한 렘수면 지향 영상을 만듭니다.
-
travel + er , vlog + er , write + er = doing + er


",24300,157,3704698
사람 블로그,프린키피아,UChxiTlN4C6yUk-83rqA1KFw,물리를 공부하는 사람입니다. 블로그도 합니다.  https://blog.naver.com/qio910,1520,50,129830
사람 블로그,사회적협동조합 사람과사람,UCLOw7xBn5MPD6kwtdrfZQLA,"사회적협동조합 사람과사람 공식 유튜브 채널입니다 :-D
사람과사람은 다양성이 존중되는 재미있는 사회,
장벽없는 사회(Barrier free)를 향해 한걸음 한걸음 나아가겠습니다.

_
공식홈페이지 : www.people-people.or.kr

_
[사람과사람 공식 계정]
블로그 : https://blog.naver.com/people_people2019
인스타그램 : https://www.instagram.com/peopleandpeople.official
페이스북 : https://www.facebook.com/peopleandpeople2019
유튜브 : https://www.youtube.com/c/사회적협동조합사람과사람

_
[파란조약돌 디자인스튜디오]
스마트스토어 : https://smartstore.naver.com/bluepebbledesignstudio
홈페이지 : bluepebble.kr
",206,35,11643
사람 블로그,LIN VLOG 린블로그,UCrbDPt1IyjMPB64s6yIvg8g,"여행, 일상",719,30,104050
사람 블로그,부업하는 그로블,UCbke8hn7I2Luarw2Oqrswxg,"▼ 네이버에 내 블로그가 안 뜬다고요? 해결책은 바로 여기! ▼
https://bit.ly/3UWuXrH

블로그 운영, 챗GPT 글쓰기 노하우에 대해서 탐구하는 채널입니다.
",4250,75,288845
사람 블로그,외국인 사람,UCJdvOIYS9-M98VV140LRDcA,,21600,99,848759
